Day,Species,Counts,Dilution,Antibiotic,Replicate,Initial
1,Lp,2,4,Cip,2,Ca
1,Lp,1,4,Cip,3,Ca
1,Lp,23,5,Cip,1,Lp
1,Lp,25,5,Cip,2,Lp
1,Lp,17,5,Cip,3,Lp
1,Ca,4,6,Gent,1,Ca
1,Ca,3,6,Gent,2,Ca
1,Ca,3,6,Gent,3,Ca
1,Ca,0,1,Gent,1,Lp
1,Ca,0,1,Gent,2,Lp
1,Ca,0,1,Gent,3,Lp
1,Lp,2,4,Gent,1,Ca
1,Lp,1,4,Gent,2,Ca
1,Lp,4,4,Gent,3,Ca
1,Lp,17,5,Gent,1,Lp
1,Lp,22,5,Gent,2,Lp
1,Lp,23,5,Gent,3,Lp
1,Ca,5,6,Kan,1,Ca
1,Ca,2,6,Kan,2,Ca
1,Ca,4,6,Kan,3,Ca
1,Ca,0,1,Kan,1,Lp
1,Ca,0,1,Kan,2,Lp
1,Ca,0,1,Kan,3,Lp
1,Lp,6,4,Kan,1,Ca
1,Lp,5,4,Kan,2,Ca
1,Lp,1,4,Kan,3,Ca
1,Lp,26,5,Kan,1,Lp
1,Lp,26,5,Kan,2,Lp
1,Lp,15,5,Kan,3,Lp
1,Ca,5,6,Tet,1,Ca
1,Ca,5,6,Tet,2,Ca
1,Ca,2,6,Tet,3,Ca
1,Ca,0,1,Tet,1,Lp
1,Ca,0,1,Tet,2,Lp
1,Ca,0,1,Tet,3,Lp
1,Lp,18,4,Tet,1,Ca
1,Lp,5,4,Tet,2,Ca
1,Lp,3,4,Tet,3,Ca
1,Lp,14,5,Tet,1,Lp
1,Lp,14,5,Tet,2,Lp
1,Lp,17,5,Tet,3,Lp
1,Ca,7,6,Ery,1,Ca
1,Lp,3,4,Ery,1,Ca
1,Ca,0,2,Ery,1,Lp
1,Lp,12,5,Ery,1,Lp
1,Ca,4,6,Ery,2,Ca
1,Lp,5,4,Ery,2,Ca
1,Ca,1,2,Ery,2,Lp
1,Lp,15,5,Ery,2,Lp
1,Ca,3,6,Ery,3,Ca
1,Lp,1,4,Ery,3,Ca
1,Ca,0,2,Ery,3,Lp
1,Lp,9,5,Ery,3,Lp
2,Ca,2,6,Amp,1,Ca
2,Ca,7,6,Amp,2,Ca
2,Ca,6,6,Amp,3,Ca
2,Ca,0,6,Amp,1,Lp
2,Ca,0,6,Amp,2,Lp
2,Ca,0,6,Amp,3,Lp
2,Lp,40,2,Amp,1,Ca
2,Lp,40,2,Amp,2,Ca
2,Lp,50,2,Amp,3,Ca
2,Lp,4,5,Amp,1,Lp
2,Lp,13,5,Amp,2,Lp
2,Lp,10,5,Amp,3,Lp
2,Ca,4,6,Car,1,Ca
2,Ca,13,6,Car,2,Ca
2,Ca,10,6,Car,3,Ca
2,Ca,0,6,Car,1,Lp
2,Ca,0,6,Car,2,Lp
2,Ca,0,6,Car,3,Lp
2,Lp,38,2,Car,1,Ca
2,Lp,38,2,Car,2,Ca
2,Lp,40,2,Car,3,Ca
2,Lp,6,5,Car,1,Lp
2,Lp,15,5,Car,2,Lp
2,Lp,15,5,Car,3,Lp
2,Ca,4,6,Chl,1,Ca
2,Ca,5,6,Chl,2,Ca
