Well	Concentration-ugmL	Species	Replicate1_FinalOD	Replicate2	Replicate3	Blank_Replicate1_FinalOD	FinalOD_NoAntib_R1	RelativeGrowth_R1	Blank_Replicate2_FinalOD	FinalOD_NoAntib_R2	RelativeGrowth_R2	Blank_Replicate3_FinalOD	FinalOD_NoAntib_R3	RelativeGrowth_R3	Antibiotic
G2	12.5	Lp	0.1006	0.1026	0.0983	0.0166	0.1106	0.150090415913201	0.0186	0.1107625	0.167926870556371	0.0143	0.106625	0.13411488862837	Kan
G3	6.25	Lp	0.1053	0.1029	0.1006	0.0213	0.1106	0.192585895117541	0.0189	0.1107625	0.17063536846857	0.0166	0.106625	0.155685814771395	Kan
G4	3.125	Lp	0.1047	0.1054	0.0966	0.0207	0.1106	0.187160940325497	0.0214	0.1107625	0.193206184403566	0.0126	0.106625	0.118171160609613	Kan
G5	1.5625	Lp	0.1107	0.1027	0.101	0.0267	0.1106	0.241410488245931	0.0187	0.1107625	0.16882970319377	0.017	0.106625	0.159437280187573	Kan
G6	0.78125	Lp	0.1184	0.107	0.1068	0.0344	0.1106	0.311030741410488	0.023	0.1107625	0.207651506601964	0.0228	0.106625	0.213833528722157	Kan
G7	0.390625	Lp	0.1278	0.1135	0.1369	0.0438	0.1106	0.396021699819168	0.0295	0.1107625	0.266335628032953	0.0529	0.106625	0.496131301289566	Kan
G8	0.1953125	Lp	0.1981	0.1632	0.215	0.1141	0.1106	1.03164556962025	0.0792	0.1107625	0.715043448820675	0.131	0.106625	1.22860492379836	Kan
G9	0.09765625	Lp	0.2399	0.2381	0.235	0.1559	0.1106	1.40958408679928	0.1541	0.1107625	1.39126509423316	0.151	0.106625	1.41617819460727	Kan
G10	0.048828125	Lp	0.2111	0.2243	0.2208	0.1271	0.1106	1.14918625678119	0.1403	0.1107625	1.26667419027198	0.1368	0.106625	1.28300117233294	Kan
G11	0.0244140625	Lp	0.1986	0.2016	0.2053	0.1146	0.1106	1.03616636528029	0.1176	0.1107625	1.06173118158221	0.1213	0.106625	1.13763188745604	Kan
G12	0.01220703125	Lp	0.2058	0.1955	0.2027	0.1218	0.1106	1.10126582278481	0.1115	0.1107625	1.00665839070082	0.1187	0.106625	1.11324736225088	Kan
H1	100	Lp	0.1102	0.1078	0.1074	0.0262	0.1106	0.236889692585895	0.0238	0.1107625	0.214874167701162	0.0234	0.106625	0.219460726846424	Tetra
H2	50	Lp	0.1213	0.1202	0.1158	0.0373	0.1106	0.337251356238698	0.0362	0.1107625	0.326825414738743	0.0318	0.106625	0.298241500586166	Tetra
H3	25	Lp	0.1913	0.1383	0.1344	0.1073	0.1106	0.970162748643761	0.0543	0.1107625	0.490238122108114	0.0504	0.106625	0.472684642438453	Tetra
H4	12.5	Lp	0.2769	0.1762	0.1727	0.1929	0.1106	1.74412296564195	0.0922	0.1107625	0.832411691682654	0.0887	0.106625	0.831887456037515	Tetra
H5	6.25	Lp	0.2506	0.2082	0.2022	0.1666	0.1106	1.50632911392405	0.1242	0.1107625	1.1213181356506	0.1182	0.106625	1.10855803048066	Tetra
H6	3.125	Lp	0.2717	0.2531	0.2525	0.1877	0.1106	1.69710669077758	0.1691	0.1107625	1.52668998984313	0.1685	0.106625	1.58030480656506	Tetra
H7	1.5625	Lp	0.2554	0.2494	0.2385	0.1714	0.1106	1.5497287522604	0.1654	0.1107625	1.49328518225934	0.1545	0.106625	1.44900351699883	Tetra
H8	0.78125	Lp	0.2337	0.241	0.2359	0.1497	0.1106	1.35352622061483	0.157	0.1107625	1.41744724071775	0.1519	0.106625	1.42461899179367	Tetra
H9	0.390625	Lp	0.2163	0.2291	0.217	0.1323	0.1106	1.19620253164557	0.1451	0.1107625	1.31001015686717	0.133	0.106625	1.24736225087925	Tetra
H10	0.1953125	Lp	0.2108	0.2251	0.2077	0.1268	0.1106	1.14647377938517	0.1411	0.1107625	1.27389685137118	0.1237	0.106625	1.16014067995311	Tetra
H11	0.09765625	Lp	0.2029	0.2199	0.1991	0.1189	0.1106	1.0750452079566	0.1359	0.1107625	1.22694955422639	0.1151	0.106625	1.07948417350528	Tetra
H12	0.048828125	Lp	0.2014	0.2163	0.1942	0.1174	0.1106	1.06148282097649	0.1323	0.1107625	1.19444757927999	0.1102	0.106625	1.03352872215709	Tetra
