"","Concentration","Well","Replicate","Slope","Intercept","Rsquare"
"95","col_conc","C8","R2","0.352159050263417","-5.26680063445954","0.999012077899366"
"96","col_conc","C8","R3","0.450936516584725","-6.02674399696115","0.997832839079418"
"97","col_conc","C9","R1","0.451474750798387","-5.56873473776885","0.996656434034293"
"98","col_conc","C9","R2","0.388746736378306","-5.49521950971287","0.998965179298569"
"99","col_conc","C9","R3","0.482291912311931","-6.24248040832193","0.996059830777345"
"100","col_conc","C10","R1","0.455139118675924","-5.60478680810999","0.996919094675046"
"101","col_conc","C10","R2","0.400980672978393","-5.57433793832726","0.999006811589485"
"102","col_conc","C10","R3","0.485446984646686","-6.2652658367685","0.996428570233544"
"103","col_conc","C11","R1","0.45111015429635","-5.57280023535625","0.996320993698317"
"104","col_conc","C11","R2","0.420440706487426","-5.73099679754542","0.998418757376804"
"105","col_conc","C11","R3","0.491875099455578","-6.31370064233253","0.994096973090038"
"106","col_conc","C12","R1","0.458368351195035","-5.53086000198244","0.994715015170689"
"107","col_conc","C12","R2","0.337015166109759","-5.05644045283536","0.999106546136516"
"108","col_conc","C12","R3","0.472402318164662","-6.1608560287344","0.996959661448173"
"109","col_conc","D1","R1","0","0","0"
"110","col_conc","D1","R2","0","0","0"
"111","col_conc","D1","R3","0","0","0"
"112","col_conc","D2","R1","0","0","0"
"113","col_conc","D2","R2","0","0","0"
"114","col_conc","D2","R3","0","0","0"
"115","col_conc","D3","R1","0","0","0"
"116","col_conc","D3","R2","0","0","0"
"117","col_conc","D3","R3","0","0","0"
"118","col_conc","D4","R1","0","0","0"
"119","col_conc","D4","R2","0","0","0"
"120","col_conc","D4","R3","0","0","0"
"121","col_conc","D5","R1","0","0","0"
"122","col_conc","D5","R2","0","0","0"
"123","col_conc","D5","R3","0","0","0"
"124","col_conc","D6","R1","0","0","0"
"125","col_conc","D6","R2","0","0","0"
"126","col_conc","D6","R3","0","0","0"
"127","col_conc","D7","R1","0.284461784859384","-5.3276679447699","0.984788240076225"
"128","col_conc","D7","R2","0.209566033565646","-4.9293469194689","0.928817134189843"
"129","col_conc","D7","R3","0.253966063268509","-5.61918592197365","0.992142219442639"
"130","col_conc","D8","R1","0.358983447031911","-5.4255286989224","0.99472493130028"
"131","col_conc","D8","R2","0.330021567410161","-5.57944946285165","0.997702132781464"
"132","col_conc","D8","R3","0.372782286075403","-6.05215459104191","0.994798840125555"
"133","col_conc","D9","R1","0.419913310822059","-5.59102488307193","0.996477755840839"
"134","col_conc","D9","R2","0.360654559717536","-5.52104342796087","0.998781533738839"
"135","col_conc","D9","R3","0.449752432150702","-6.27700284889491","0.994884010632593"
"136","col_conc","D10","R1","0.428603740720683","-5.50974027674011","0.997548060647511"
"137","col_conc","D10","R2","0.397953555505752","-5.66685225258477","0.998329741916672"
"138","col_conc","D10","R3","0.463955150495121","-6.21478166692487","0.996379403464343"
"139","col_conc","D11","R1","0.400698168738588","-5.23514819602529","0.996307382120524"
"140","col_conc","D11","R2","0.41319654086251","-5.72803218303929","0.998668115234452"
"141","col_conc","D11","R3","0.492922873141991","-6.35433365406358","0.994081164581081"
"142","col_conc","D12","R1","0.460920539360444","-5.57149571332254","0.996666151465403"
"143","col_conc","D12","R2","0.412185161142391","-5.60184527011312","0.998449439686165"
"144","col_conc","D12","R3","0.474127351904984","-6.17273234879242","0.997796053935361"
"145","col_conc","E1","R1","0","0","0"
"146","col_conc","E1","R2","0","0","0"
"147","col_conc","E1","R3","0","0","0"
"148","col_conc","E2","R1","0","0","0"
"149","col_conc","E2","R2","0","0","0"
"150","col_conc","E2","R3","0","0","0"
"151","col_conc","E3","R1","0","0","0"
"152","col_conc","E3","R2","0","0","0"
"153","col_conc","E3","R3","0","0","0"
"154","col_conc","E4","R1","0","0","0"
"155","col_conc","E4","R2","0","0","0"
"156","col_conc","E4","R3","0","0","0"
"157","col_conc","E5","R1","0","0","0"
"158","col_conc","E5","R2","0","0","0"
"159","col_conc","E5","R3","0","0","0"
"160","col_conc","E6","R1","0","0","0"
"161","col_conc","E6","R2","0","0","0"
"162","col_conc","E6","R3","0","0","0"
"163","col_conc","E7","R1","0","0","0"
"164","col_conc","E7","R2","0","0","0"
"165","col_conc","E7","R3","0","0","0"
"166","col_conc","E8","R1","0","0","0"
